symbol,market_cap_cr
J&KBANK,17437.2
JYOTICNC,17420.6
THANGAMAYL,17359.3
GPIL,17292.9
EMAMILTD,17291.9
KANSAINER,17261.2
LMW,17146.2
NAVA,17142.6
GALLANTT,17140.6
BRIGADE,17136.6
FINCABLES,17083.3
INOXINDIA,17053.6
BBOX,17024.7
AARTIIND,16910.3
POLYMED,16744.1
FSL,16711.0
ZYDUSWELL,16703.3
CENTURYPLY,16663.0
JINDALSAW,16578.1
VEDPOWER,16471.6
CHENNPETRO,16454.7
JBMA,16434.0
ASTRAMICRO,16330.5
KSB,16255.3
NATCOPHARM,16207.7
PFOCUS,16206.9
THELEELA,16123.5
CHOICEIN,16106.7
DCMSHRIRAM,16066.9
FINEORG,16065.8
BIKAJI,16047.1
KIRLOSBROS,16040.6
FRACTAL,15992.8
ZENTEC,15953.9
CLEANMAX,15911.1
BASF,15807.9
MINDACORP,15789.2
NIVABUPA,15746.2
WELSPUNLIV,15723.1
PGEL,15597.2
TBOTEK,15569.1
IGIL,15559.9
CCL,15525.9
GRWRHITECH,15500.7
INOXWIND,15450.4
ARE&M,15282.6
JUBLPHARMA,15268.5
AGARWALEYE,15248.5
KFINTECH,15139.7
APLLTD,15114.7
VENTIVE,15063.4
SOBHA,15005.6
AEQUS,15000.1
ABREL,14786.5
FIVESTAR,14640.9
JSWDULUX,14572.9
SCI,14565.5
SKFINDUS,14559.5
BEML,14523.9
RAINBOW,14518.2
ARVIND,14468.7
USHAMART,14459.0
ANURAS,14453.0
MAHSCOOTER,14285.7
APOLLO,14276.9
HAPPYFORGE,14251.2
INGERRAND,14204.0
VINATIORGA,14160.6
ENGINERSIN,14156.7
PARADEEP,14129.5
VIJAYA,14086.6
CEATLTD,14038.8
KEC,14028.7
SPLPETRO,14000.6
ATLANTAELE,13902.9
DEVYANI,13885.4
PRIVISCL,13855.9
DOMS,13624.5
HONASA,13595.2
ALIVUS,13539.4
JSWHL,13470.2
TRIDENT,13452.3
CONCORDBIO,13441.1
LTFOODS,13369.2
VGUARD,13344.4
APTUS,13269.7
WABAG,13128.8
SHAILY,13108.6
AVANTIFEED,13093.2
AZAD,13088.8
SHADOWFAX,13039.8
TEGA,12997.1
VOGL,12922.8
CARTRADE,12909.1
ECLERX,12883.5
NSLNISP,12806.7
CANHLIFE,12761.7
TECHNOE,12674.3
EIDPARRY,12617.1
IRCON,12584.1
PCBL,12466.9
HOMEFIRST,12459.4
INDGN,12430.5
KIRLPNU,12388.5
OLECTRA,12369.6
PRUDENT,12359.9
PARKHOSPS,12353.2
JPPOWER,12254.0
GRAVITA,12200.2
LLOYDSENGG,12100.6
VISL,12075.3
JAINREC,12060.7
UTIAMC,12044.1
SEDEMAC,12013.6
JMFINANCIL,12009.8
TITAGARH,11998.1
SOUTHBANK,11899.1
ABLBL,11840.3
AAVAS,11838.5
BLUEDART,11835.7
GRAPHITE,11817.3
CANFINHOME,11797.5
ELECON,11793.3
INDIAMART,11786.0
SWANDEF,11742.9
AFCONS,11739.7
ACE,11725.9
AVALON,11718.8
MARKSANS,11691.6
VIYASH,11684.1
MGL,11647.9
TMB,11599.2
EDELWEISS,11576.1
JKTYRE,11452.3
METROPOLIS,11298.6
JWL,11244.1
BALRAMCHIN,11239.4
SHILPAMED,11179.5
LLOYDSENT,11145.4
AMAGI,11118.7
IEX,11116.3
NAZARA,11115.8
SIGMAADV,11015.0
TEJASNET,11004.5
NUVOCO,10925.4
UJJIVANSFB,10914.8
DIACABS,10882.0
GODREJAGRO,10829.9
FINPIPE,10826.7
BBTC,10800.7
TI,10781.6
FIRSTCRY,10780.3
SIGNATURE,10706.2
IIFLCAPS,10696.5
ZEEL,10647.4
WAAREERTL,10643.3
BLS,10642.0
SANOFICONR,10632.3
LUMAXTECH,10550.8
VOLTAMP,10469.2
INTELLECT,10407.7
PGHL,10358.0
RELAXO,10355.8
BLACKBUCK,10290.8
RPOWER,10289.8
MMTC,10282.5
RKFORGE,10236.3
WHIRLPOOL,10217.1
ZENSARTECH,10090.5
MEDPLUS,10075.2
SANDUMA,10072.1
SBFC,10053.4
RAILTEL,10048.6
MANYAVAR,10041.0
HEG,10034.8
KTKBANK,10027.5
RITES,10013.9
TARIL,9995.5
RATEGAIN,9995.3
SWANCORP,9942.9
PARAS,9928.4
STAR,9909.5
JUBLINGREA,9802.9
CYIENT,9779.5
QPOWER,9719.2
NCC,9647.5
PVRINOX,9643.2
PGIL,9542.1
VESUVIUS,9498.6
UTLSOLAR,9484.8
LEMONTREE,9438.8
BANCOINDIA,9422.6
MANORAMA,9421.4
RELIGARE,9417.7
VARROC,9336.0
AKUMS,9302.5
SAREGAMA,9218.9
GENUSPOWER,9217.7
ALKYLAMINE,9180.2
ASKAUTOLTD,9173.0
BATAINDIA,9170.4
SUDEEPPHRM,9165.8
JLHL,9120.2
GRINFRA,9114.8
BLUEJET,9106.9
TIMETECHNO,9041.9
TRIVENI,9012.8
HCG,8985.8
ESABINDIA,8881.8
EMBDL,8844.8
EUREKAFORB,8841.3
KRBL,8835.1
POWERMECH,8765.3
TSFINV,8739.4
WEWORK,8663.3
BORORENEW,8656.9
EQUITASBNK,8622.5
E2E,8544.2
AVL,8529.6
STARCEMENT,8495.9
ORKLAINDIA,8493.3
MAHSEAMLES,8464.7
ICIL,8456.9
BSOFT,8436.3
INDIASHLTR,8381.8
CELLO,8371.5
TTML,8345.6
POWERICA,8340.4
JAYNECOIND,8335.0
IXIGO,8332.5
ELANTAS,8324.1
PCJEWELLER,8321.9
CLEAN,8276.8
HMT,8248.0
SKFINDIA,8192.4
TIPSMUSIC,8180.6
KWIL,8176.6
BLUESTONE,8168.7
THYROCARE,8165.0
CERA,8154.8
INOXGREEN,8070.0
YATHARTH,8060.0
V2RETAIL,8056.7
GNFC,8037.7
KIRLFER,7956.8
SFL,7950.0
SHARDACROP,7939.4
KPIGREEN,7876.2
SONATSOFTW,7861.0
SHREEJISPG,7852.7
TTKPRESTIG,7833.6
KRN,7828.8
SAFARI,7809.9
GMRP&UI,7802.4
WELENT,7793.7
RHIM,7743.8
SKYGOLD,7728.2
BIRLACORPN,7721.7
MIDHANI,7718.4
MAHLIFE,7701.7
PRECWIRE,7700.8
SANOFI,7694.5
NESCO,7680.1
REDTAPE,7562.4
SUPRIYA,7557.3
BAJAJCON,7549.7
WESTLIFE,7528.0
JSLL,7482.9
GPPL,7439.1
JKLAKSHMI,7411.4
DBL,7398.5
EPL,7382.8
